,Province/State,Country/Region,Lat,Long,date,Confirmed,Deaths,Recovered
0,,Afghanistan,33.0,65.0,2020-01-22,0,0,0.0
1,,Albania,41.1533,20.1683,2020-01-22,0,0,0.0
2,,Algeria,28.0339,1.6596,2020-01-22,0,0,0.0
3,,Andorra,42.5063,1.5218,2020-01-22,0,0,0.0
4,,Angola,-11.2027,17.8739,2020-01-22,0,0,0.0
5,,Antigua and Barbuda,17.0608,-61.7964,2020-01-22,0,0,0.0
6,,Argentina,-38.4161,-63.6167,2020-01-22,0,0,0.0
7,,Armenia,40.0691,45.0382,2020-01-22,0,0,0.0
8,Australian Capital Territory,Australia,-35.4735,149.0124,2020-01-22,0,0,0.0
9,New South Wales,Australia,-33.8688,151.2093,2020-01-22,0,0,0.0
10,Northern Territory,Australia,-12.4634,130.8456,2020-01-22,0,0,0.0
11,Queensland,Australia,-28.0167,153.4,2020-01-22,0,0,0.0
12,South Australia,Australia,-34.9285,138.6007,2020-01-22,0,0,0.0
13,Tasmania,Australia,-41.4545,145.9707,2020-01-22,0,0,0.0
14,Victoria,Australia,-37.8136,144.9631,2020-01-22,0,0,0.0
15,Western Australia,Australia,-31.9505,115.8605,2020-01-22,0,0,0.0
16,,Austria,47.5162,14.5501,2020-01-22,0,0,0.0
17,,Azerbaijan,40.1431,47.5769,2020-01-22,0,0,0.0
18,,Bahamas,25.0343,-77.3963,2020-01-22,0,0,0.0
19,,Bahrain,26.0275,50.55,2020-01-22,0,0,0.0
20,,Bangladesh,23.685,90.3563,2020-01-22,0,0,0.0
21,,Barbados,13.1939,-59.5432,2020-01-22,0,0,0.0
22,,Belarus,53.7098,27.9534,2020-01-22,0,0,0.0
23,,Belgium,50.8333,4.0,2020-01-22,0,0,0.0
24,,Benin,9.3077,2.3158,2020-01-22,0,0,0.0
25,,Bhutan,27.5142,90.4336,2020-01-22,0,0,0.0
26,,Bolivia,-16.2902,-63.5887,2020-01-22,0,0,0.0
27,,Bosnia and Herzegovina,43.9159,17.6791,2020-01-22,0,0,0.0
28,,Brazil,-14.235,-51.9253,2020-01-22,0,0,0.0
29,,Brunei,4.5353,114.7277,2020-01-22,0,0,0.0
30,,Bulgaria,42.7339,25.4858,2020-01-22,0,0,0.0
31,,Burkina Faso,12.2383,-1.5616,2020-01-22,0,0,0.0
32,,Cabo Verde,16.5388,-23.0418,2020-01-22,0,0,0.0
33,,Cambodia,11.55,104.9167,2020-01-22,0,0,0.0
34,,Cameroon,3.848,11.5021,2020-01-22,0,0,
35,Alberta,Canada,53.9333,-116.5765,2020-01-22,0,0,
36,British Columbia,Canada,49.2827,-123.1207,2020-01-22,0,0,
37,Grand Princess,Canada,37.6489,-122.6655,2020-01-22,0,0,
38,Manitoba,Canada,53.7609,-98.8139,2020-01-22,0,0,
39,New Brunswick,Canada,46.5653,-66.4619,2020-01-22,0,0,
40,Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-01-22,0,0,
41,Nova Scotia,Canada,44.682,-63.7443,2020-01-22,0,0,
42,Ontario,Canada,51.2538,-85.3232,2020-01-22,0,0,
43,Prince Edward Island,Canada,46.5107,-63.4168,2020-01-22,0,0,
44,Quebec,Canada,52.9399,-73.5491,2020-01-22,0,0,
45,Saskatchewan,Canada,52.9399,-106.4509,2020-01-22,0,0,
46,,Central African Republic,6.6111,20.9394,2020-01-22,0,0,0.0
47,,Chad,15.4542,18.7322,2020-01-22,0,0,0.0
48,,Chile,-35.6751,-71.543,2020-01-22,0,0,0.0
49,Anhui,China,31.8257,117.2264,2020-01-22,1,0,0.0
50,Beijing,China,40.1824,116.4142,2020-01-22,14,0,0.0
51,Chongqing,China,30.0572,107.874,2020-01-22,6,0,0.0
52,Fujian,China,26.0789,117.9874,2020-01-22,1,0,0.0
